DUTY_ID,SEQ,REV_SEQ,Comp idx,START_TIME_SECONDS,START_TIME_HHMMSS,END_TIME_SECONDS,END_TIME_HHMMSS,START_NODE,END_NODE,EVENT_TYPE,TRAIN_COURSE_ID
RSDuty_0,1,71,0,21900,06:05:00,21982,06:06:22,SHENFMS,SHENFLD,TRAIN,5Y23RL#1
RSDuty_0,2,70,1,21982,06:06:22,22260,06:11:00,SHENFLD,SHENFLD,CHANGE_END,
RSDuty_0,3,69,2,22260,06:11:00,25465,07:04:25,SHENFLD,PADTLL,TRAIN,9Y23RL#1
RSDuty_0,4,68,3,25465,07:04:25,25560,07:06:00,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,5,67,4,25560,07:06:00,25677,07:07:57,PADTLL,WBRNPKS,TRAIN,3Y23RL#1
RSDuty_0,6,66,5,25677,07:07:57,26097,07:14:57,WBRNPKS,WBRNPKS,CHANGE_END,
RSDuty_0,7,65,6,26097,07:14:57,26100,07:15:00,WBRNPKS,WBRNPKS,SPARE,
RSDuty_0,8,64,7,26100,07:15:00,26220,07:17:00,WBRNPKS,PADTLL,TRAIN,3W34RL#1
RSDuty_0,9,63,8,26220,07:17:00,26280,07:18:00,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,10,62,9,26280,07:18:00,29583,08:13:03,PADTLL,SHENFLD,TRAIN,9W34RL#1
RSDuty_0,11,61,10,29583,08:13:03,30003,08:20:03,SHENFLD,SHENFLD,CHANGE_END,
RSDuty_0,12,60,11,30003,08:20:03,30060,08:21:00,SHENFLD,SHENFLD,SPARE,
RSDuty_0,13,59,12,30060,08:21:00,33287,09:14:47,SHENFLD,PADTLL,TRAIN,9Y69RL#1
RSDuty_0,14,58,13,33287,09:14:47,33360,09:16:00,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,15,57,14,33360,09:16:00,33928,09:25:28,PADTLL,OLDOXRS,TRAIN,3Y69RL#1
RSDuty_0,16,56,15,33928,09:25:28,34348,09:32:28,OLDOXRS,OLDOXRS,CHANGE_END,
RSDuty_0,17,55,16,34348,09:32:28,48420,13:27:00,OLDOXRS,OLDOXRS,SPARE,
RSDuty_0,18,54,17,48420,13:27:00,49056,13:37:36,OLDOXRS,PADTLL,TRAIN,5U79RM#1
RSDuty_0,19,53,18,49056,13:37:36,49140,13:39:00,PADTLL,PADTLL,CHANGE_END,
