DUTY_ID,SEQ,REV_SEQ,Comp idx,START_TIME_SECONDS,START_TIME_HHMMSS,END_TIME_SECONDS,END_TIME_HHMMSS,START_NODE,END_NODE,EVENT_TYPE,TRAIN_COURSE_ID
RSDuty_0,1,81,0,16920,04:42:00,17009,04:43:29,GIDEPKS,GIDEAPK,TRAIN,5C01RL#1
RSDuty_0,2,80,1,17009,04:43:29,17100,04:45:00,GIDEAPK,GIDEAPK,CHANGE_END,
RSDuty_0,3,79,2,17100,04:45:00,18900,05:15:00,GIDEAPK,LIVST,TRAIN,2C01RL#1
RSDuty_0,4,78,3,18900,05:15:00,19320,05:22:00,LIVST,LIVST,CHANGE_END,
RSDuty_0,5,77,4,19320,05:22:00,19440,05:24:00,LIVST,LIVST,SPARE,
RSDuty_0,6,76,5,19440,05:24:00,21852,06:04:12,LIVST,SHENFLD,TRAIN,2W02RL#1
RSDuty_0,7,75,6,21852,06:04:12,22272,06:11:12,SHENFLD,SHENFLD,CHANGE_END,
RSDuty_0,8,74,7,22272,06:11:12,22680,06:18:00,SHENFLD,SHENFLD,SPARE,
RSDuty_0,9,73,8,22680,06:18:00,25888,07:11:28,SHENFLD,PADTLL,TRAIN,9Y25RL#1
RSDuty_0,10,72,9,25888,07:11:28,26040,07:14:00,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,11,71,10,26040,07:14:00,26166,07:16:06,PADTLL,WBRNPKS,TRAIN,3Y25RL#1
RSDuty_0,12,70,11,26166,07:16:06,26586,07:23:06,WBRNPKS,WBRNPKS,CHANGE_END,
RSDuty_0,13,69,12,26586,07:23:06,26820,07:27:00,WBRNPKS,WBRNPKS,SPARE,
RSDuty_0,14,68,13,26820,07:27:00,26947,07:29:07,WBRNPKS,PADTLL,TRAIN,3W38RL#1
RSDuty_0,15,67,14,26947,07:29:07,27000,07:30:00,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,16,66,15,27000,07:30:00,30183,08:23:03,PADTLL,SHENFLD,TRAIN,9W38RL#1
RSDuty_0,17,65,16,30183,08:23:03,30603,08:30:03,SHENFLD,SHENFLD,CHANGE_END,
RSDuty_0,18,64,17,30603,08:30:03,30720,08:32:00,SHENFLD,SHENFLD,SPARE,
RSDuty_0,19,63,18,30720,08:32:00,33825,09:23:45,SHENFLD,PADTLL,TRAIN,9Y73RL#1
RSDuty_0,20,62,19,33825,09:23:45,33855,09:24:15,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,21,61,20,33855,09:24:15,34319,09:31:59,PADTLL,WBRNPKS,TRAIN,3Y73RL#1
RSDuty_0,22,60,21,34319,09:31:59,34739,09:38:59,WBRNPKS,WBRNPKS,CHANGE_END,
RSDuty_0,23,59,22,34739,09:38:59,34808,09:40:08,WBRNPKS,WBRNPKS,SPARE,
RSDuty_0,24,58,23,34808,09:40:08,35018,09:43:38,WBRNPKS,PADTLL,TRAIN,3W84RL#1
RSDuty_0,25,57,24,35018,09:43:38,35048,09:44:08,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,26,56,25,35048,09:44:08,38234,10:37:14,PADTLL,SHENFLD,TRAIN,9W84RL#1
RSDuty_0,27,55,26,38234,10:37:14,38654,10:44:14,SHENFLD,SHENFLD,CHANGE_END,
RSDuty_0,28,54,27,38654,10:44:14,41711,11:35:11,SHENFLD,PADTLL,TRAIN,9Y25JS#1
RSDuty_0,29,53,28,38654,10:44:14,38654,10:44:14,SHENFLD,SHENFLD,SPARE,
RSDuty_0,30,52,29,41711,11:35:11,41850,11:37:30,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,31,51,30,41850,11:37:30,42450,11:47:30,PADTLL,WBRNPKS,TRAIN,3Y25RM#1
RSDuty_0,32,50,31,42450,11:47:30,42870,11:54:30,WBRNPKS,WBRNPKS,CHANGE_END,
RSDuty_0,33,49,32,42870,11:54:30,43278,12:01:18,WBRNPKS,WBRNPKS,SPARE,
RSDuty_0,34,48,33,43278,12:01:18,43350,12:02:30,WBRNPKS,PADTLL,TRAIN,5U43RM#1
RSDuty_0,35,47,34,43350,12:02:30,43440,12:04:00,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,36,46,35,43440,12:04:00,45210,12:33:30,PADTLL,ABWDXR,TRAIN,9U43JS#1
RSDuty_0,37,45,36,45210,12:33:30,45630,12:40:30,ABWDXR,ABWDXR,CHANGE_END,
RSDuty_0,38,44,37,45630,12:40:30,47400,13:10:00,ABWDXR,PADTLL,TRAIN,9Y62JS#1
RSDuty_0,39,43,38,45630,12:40:30,45630,12:40:30,ABWDXR,ABWDXR,SPARE,
RSDuty_0,40,42,39,47400,13:10:00,47460,13:11:00,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,41,41,40,47460,13:11:00,47820,13:17:00,PADTLL,WBRNPKS,TRAIN,3Y62RM#1
RSDuty_0,42,40,41,47820,13:17:00,48240,13:24:00,WBRNPKS,WBRNPKS,CHANGE_END,
RSDuty_0,43,39,42,48240,13:24:00,48240,13:24:00,WBRNPKS,WBRNPKS,SPARE,
RSDuty_0,44,38,43,48240,13:24:00,48690,13:31:30,WBRNPKS,PADTLL,TRAIN,3W78RM#1
RSDuty_0,45,37,44,48690,13:31:30,48720,13:32:00,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,46,36,45,48720,13:32:00,51780,14:23:00,PADTLL,SHENFLD,TRAIN,9W78JS#1
RSDuty_0,47,35,46,51780,14:23:00,52200,14:30:00,SHENFLD,SHENFLD,CHANGE_END,
RSDuty_0,48,34,47,52200,14:30:00,55829,15:30:29,SHENFLD,PADTLL,TRAIN,9Y21RN#1
RSDuty_0,49,33,48,52200,14:30:00,52200,14:30:00,SHENFLD,SHENFLD,SPARE,
RSDuty_0,50,32,49,55829,15:30:29,55920,15:32:00,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,51,31,50,55920,15:32:00,56370,15:39:30,PADTLL,WBRNPKS,TRAIN,3Y21RN#1
RSDuty_0,52,30,51,56370,15:39:30,56790,15:46:30,WBRNPKS,WBRNPKS,CHANGE_END,
RSDuty_0,53,29,52,56790,15:46:30,56862,15:47:42,WBRNPKS,PADTLL,TRAIN,3W32RN#1
RSDuty_0,54,28,53,56790,15:46:30,56790,15:46:30,WBRNPKS,WBRNPKS,SPARE,
RSDuty_0,55,27,54,56862,15:47:42,56910,15:48:30,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,56,26,55,56910,15:48:30,58533,16:15:33,PADTLL,ABWDXR,TRAIN,9U33JU#1
RSDuty_0,57,25,56,58533,16:15:33,58953,16:22:33,ABWDXR,ABWDXR,CHANGE_END,
RSDuty_0,58,24,57,58953,16:22:33,64020,17:47:00,ABWDXR,RDNGSTN,TRAIN,9R52RN#1
RSDuty_0,59,23,58,58953,16:22:33,58953,16:22:33,ABWDXR,ABWDXR,SPARE,
RSDuty_0,60,22,59,64020,17:47:00,64440,17:54:00,RDNGSTN,RDNGSTN,CHANGE_END,
RSDuty_0,61,21,60,64440,17:54:00,70188,19:29:48,RDNGSTN,ABWDXR,TRAIN,9U05RO#1
RSDuty_0,62,20,61,64440,17:54:00,64440,17:54:00,RDNGSTN,RDNGSTN,SPARE,
