DUTY_ID,SEQ,REV_SEQ,Comp idx,START_TIME_SECONDS,START_TIME_HHMMSS,END_TIME_SECONDS,END_TIME_HHMMSS,START_NODE,END_NODE,EVENT_TYPE,TRAIN_COURSE_ID
RSDuty_0,1,56,0,19740,05:29:00,19828,05:30:28,MDNHDCS,MDNHEAD,TRAIN,5U15RL#1
RSDuty_0,2,55,1,19828,05:30:28,20008,05:33:28,MDNHEAD,MDNHEAD,CHANGE_END,
RSDuty_0,3,54,2,20008,05:33:28,24543,06:49:03,MDNHEAD,ABWDXR,TRAIN,9U15RL#1
RSDuty_0,4,53,3,24543,06:49:03,24963,06:56:03,ABWDXR,ABWDXR,CHANGE_END,
RSDuty_0,5,52,4,24963,06:56:03,25200,07:00:00,ABWDXR,ABWDXR,SPARE,
RSDuty_0,6,51,5,25200,07:00:00,29056,08:04:16,ABWDXR,HTRWTM4,TRAIN,9T30RL#1
RSDuty_0,7,50,6,29056,08:04:16,29476,08:11:16,HTRWTM4,HTRWTM4,CHANGE_END,
RSDuty_0,8,49,7,29476,08:11:16,29820,08:17:00,HTRWTM4,HTRWTM4,SPARE,
RSDuty_0,9,48,8,29820,08:17:00,33628,09:20:28,HTRWTM4,ABWDXR,TRAIN,9U65RL#1
RSDuty_0,10,47,9,33628,09:20:28,34048,09:27:28,ABWDXR,ABWDXR,CHANGE_END,
RSDuty_0,11,46,10,34048,09:27:28,34200,09:30:00,ABWDXR,ABWDXR,SPARE,
RSDuty_0,12,45,11,34200,09:30:00,38116,10:35:16,ABWDXR,HTRWTM4,TRAIN,9T84RL#1
RSDuty_0,13,44,12,38116,10:35:16,38536,10:42:16,HTRWTM4,HTRWTM4,CHANGE_END,
RSDuty_0,14,43,13,38536,10:42:16,38880,10:48:00,HTRWTM4,HTRWTM4,SPARE,
RSDuty_0,15,42,14,38880,10:48:00,42694,11:51:34,HTRWTM4,ABWDXR,TRAIN,9U25JK#1
RSDuty_0,16,41,15,42694,11:51:34,43114,11:58:34,ABWDXR,ABWDXR,CHANGE_END,
RSDuty_0,17,40,16,43114,11:58:34,43200,12:00:00,ABWDXR,ABWDXR,SPARE,
RSDuty_0,18,39,17,43200,12:00:00,47116,13:05:16,ABWDXR,HTRWTM4,TRAIN,9T44JS#1
RSDuty_0,19,38,18,47116,13:05:16,47536,13:12:16,HTRWTM4,HTRWTM4,CHANGE_END,
RSDuty_0,20,37,19,47536,13:12:16,47880,13:18:00,HTRWTM4,HTRWTM4,SPARE,
RSDuty_0,21,36,20,47880,13:18:00,51666,14:21:06,HTRWTM4,ABWDXR,TRAIN,9U85JT#1
RSDuty_0,22,35,21,51666,14:21:06,52086,14:28:06,ABWDXR,ABWDXR,CHANGE_END,
RSDuty_0,23,34,22,52086,14:28:06,52200,14:30:00,ABWDXR,ABWDXR,SPARE,
RSDuty_0,24,33,23,52200,14:30:00,56116,15:35:16,ABWDXR,HTRWTM4,TRAIN,9T06JT#1
RSDuty_0,25,32,24,56116,15:35:16,56536,15:42:16,HTRWTM4,HTRWTM4,CHANGE_END,
RSDuty_0,26,31,25,56536,15:42:16,56910,15:48:30,HTRWTM4,HTRWTM4,SPARE,
RSDuty_0,27,30,26,56910,15:48:30,62223,17:17:03,HTRWTM4,SHENFLD,TRAIN,9W44RN#1
RSDuty_0,28,29,27,62223,17:17:03,62643,17:24:03,SHENFLD,SHENFLD,CHANGE_END,
RSDuty_0,29,28,28,62643,17:24:03,62760,17:26:00,SHENFLD,SHENFLD,SPARE,
RSDuty_0,30,27,29,62760,17:26:00,66105,18:21:45,SHENFLD,PADTLL,TRAIN,9Y79RN#1
RSDuty_0,31,26,30,66105,18:21:45,66135,18:22:15,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,32,25,31,66135,18:22:15,66300,18:25:00,PADTLL,WBRNPKS,TRAIN,3Y79RN#1
RSDuty_0,33,24,32,66300,18:25:00,66720,18:32:00,WBRNPKS,WBRNPKS,CHANGE_END,
RSDuty_0,34,23,33,66720,18:32:00,66735,18:32:15,WBRNPKS,WBRNPKS,SPARE,
RSDuty_0,35,22,34,66735,18:32:15,66820,18:33:40,WBRNPKS,PADTLL,TRAIN,3W94RN#1
RSDuty_0,36,21,35,66820,18:33:40,66850,18:34:10,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,37,20,36,66850,18:34:10,70190,19:29:50,PADTLL,SHENFLD,TRAIN,9W94RN#1
RSDuty_0,38,19,37,70190,19:29:50,70610,19:36:50,SHENFLD,SHENFLD,CHANGE_END,
RSDuty_0,39,18,38,70610,19:36:50,70650,19:37:30,SHENFLD,SHENFLD,SPARE,
