DUTY_ID,SEQ,REV_SEQ,Comp idx,START_TIME_SECONDS,START_TIME_HHMMSS,END_TIME_SECONDS,END_TIME_HHMMSS,START_NODE,END_NODE,EVENT_TYPE,TRAIN_COURSE_ID
RSDuty_0,1,85,0,16920,04:42:00,17009,04:43:29,GIDEPKS,GIDEAPK,TRAIN,5C01RL#1
RSDuty_0,2,84,1,17009,04:43:29,17100,04:45:00,GIDEAPK,GIDEAPK,CHANGE_END,
RSDuty_0,3,83,2,17100,04:45:00,18900,05:15:00,GIDEAPK,LIVST,TRAIN,2C01RL#1
RSDuty_0,4,82,3,18900,05:15:00,19320,05:22:00,LIVST,LIVST,CHANGE_END,
RSDuty_0,5,81,4,19320,05:22:00,19440,05:24:00,LIVST,LIVST,SPARE,
RSDuty_0,6,80,5,19440,05:24:00,21852,06:04:12,LIVST,SHENFLD,TRAIN,2W02RL#1
RSDuty_0,7,79,6,21852,06:04:12,22272,06:11:12,SHENFLD,SHENFLD,CHANGE_END,
RSDuty_0,8,78,7,22272,06:11:12,22680,06:18:00,SHENFLD,SHENFLD,SPARE,
RSDuty_0,9,77,8,22680,06:18:00,25888,07:11:28,SHENFLD,PADTLL,TRAIN,9Y25RL#1
RSDuty_0,10,76,9,25888,07:11:28,26040,07:14:00,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,11,75,10,26040,07:14:00,26166,07:16:06,PADTLL,WBRNPKS,TRAIN,3Y25RL#1
RSDuty_0,12,74,11,26166,07:16:06,26586,07:23:06,WBRNPKS,WBRNPKS,CHANGE_END,
RSDuty_0,13,73,12,26586,07:23:06,26820,07:27:00,WBRNPKS,WBRNPKS,SPARE,
RSDuty_0,14,72,13,26820,07:27:00,26947,07:29:07,WBRNPKS,PADTLL,TRAIN,3W38RL#1
RSDuty_0,15,71,14,26947,07:29:07,27000,07:30:00,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,16,70,15,27000,07:30:00,30116,08:21:56,PADTLL,SHENFLD,TRAIN,9W38RL#1
RSDuty_0,17,69,16,30116,08:21:56,30536,08:28:56,SHENFLD,SHENFLD,CHANGE_END,
RSDuty_0,18,68,17,30536,08:28:56,30536,08:28:56,SHENFLD,SHENFLD,SPARE,
RSDuty_0,19,67,18,30536,08:28:56,34194,09:29:54,SHENFLD,PADTLL,TRAIN,9Y73RL#1
RSDuty_0,20,66,19,34194,09:29:54,34224,09:30:24,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,21,65,20,34224,09:30:24,34524,09:35:24,PADTLL,WBRNPKS,TRAIN,3Y73RL#1
RSDuty_0,22,64,21,34524,09:35:24,34944,09:42:24,WBRNPKS,WBRNPKS,CHANGE_END,
RSDuty_0,23,63,22,34944,09:42:24,35637,09:53:57,WBRNPKS,WBRNPKS,SPARE,
RSDuty_0,24,62,23,35637,09:53:57,35709,09:55:09,WBRNPKS,PADTLL,TRAIN,3W90RL#1
RSDuty_0,25,61,24,35709,09:55:09,35739,09:55:39,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,26,60,25,35739,09:55:39,38736,10:45:36,PADTLL,SHENFLD,TRAIN,9W90RL#1
RSDuty_0,27,59,26,38736,10:45:36,39156,10:52:36,SHENFLD,SHENFLD,CHANGE_END,
RSDuty_0,28,58,27,39156,10:52:36,39156,10:52:36,SHENFLD,SHENFLD,SPARE,
RSDuty_0,29,57,28,39156,10:52:36,42728,11:52:08,SHENFLD,PADTLL,TRAIN,9Y31JS#1
RSDuty_0,30,56,29,42728,11:52:08,42758,11:52:38,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,31,55,30,42758,11:52:38,42969,11:56:09,PADTLL,WBRNPKS,TRAIN,3Y31RM#1
RSDuty_0,32,54,31,42969,11:56:09,43389,12:03:09,WBRNPKS,WBRNPKS,CHANGE_END,
RSDuty_0,33,53,32,43389,12:03:09,43470,12:04:30,WBRNPKS,WBRNPKS,SPARE,
RSDuty_0,34,52,33,43470,12:04:30,43890,12:11:30,WBRNPKS,PADTLL,TRAIN,3W46RM#1
RSDuty_0,35,51,34,43890,12:11:30,43920,12:12:00,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,36,50,35,43920,12:12:00,46985,13:03:05,PADTLL,SHENFLD,TRAIN,9W46JS#1
RSDuty_0,37,49,36,46985,13:03:05,47405,13:10:05,SHENFLD,SHENFLD,CHANGE_END,
RSDuty_0,38,48,37,47405,13:10:05,50790,14:06:30,SHENFLD,PADTLL,TRAIN,9Y85JS#1
RSDuty_0,39,47,38,47405,13:10:05,47405,13:10:05,SHENFLD,SHENFLD,SPARE,
RSDuty_0,40,46,39,50790,14:06:30,50880,14:08:00,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,41,45,40,50880,14:08:00,51228,14:13:48,PADTLL,WBRNPKS,TRAIN,3Y85RM#1
RSDuty_0,42,44,41,51228,14:13:48,51648,14:20:48,WBRNPKS,WBRNPKS,CHANGE_END,
RSDuty_0,43,43,42,51648,14:20:48,51738,14:22:18,WBRNPKS,WBRNPKS,SPARE,
RSDuty_0,44,42,43,51738,14:22:18,51810,14:23:30,WBRNPKS,PADTLL,TRAIN,3W02RN#1
RSDuty_0,45,41,44,51810,14:23:30,51870,14:24:30,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,46,40,45,51870,14:24:30,54846,15:14:06,PADTLL,SHENFLD,TRAIN,9W02JT#1
RSDuty_0,47,39,46,54846,15:14:06,55266,15:21:06,SHENFLD,SHENFLD,CHANGE_END,
RSDuty_0,48,38,47,55266,15:21:06,55266,15:21:06,SHENFLD,SHENFLD,SPARE,
RSDuty_0,49,37,48,55266,15:21:06,58800,16:20:00,SHENFLD,PADTLL,TRAIN,9Y41RN#1
RSDuty_0,50,36,49,58800,16:20:00,58860,16:21:00,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,51,35,50,58860,16:21:00,59100,16:25:00,PADTLL,WBRNPKS,TRAIN,3Y41RN#1
RSDuty_0,52,34,51,59100,16:25:00,59520,16:32:00,WBRNPKS,WBRNPKS,CHANGE_END,
RSDuty_0,53,33,52,59520,16:32:00,59658,16:34:18,WBRNPKS,WBRNPKS,SPARE,
RSDuty_0,54,32,53,59658,16:34:18,59730,16:35:30,WBRNPKS,PADTLL,TRAIN,3W50RN#1
RSDuty_0,55,31,54,59730,16:35:30,59820,16:37:00,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,56,30,55,59820,16:37:00,62760,17:26:00,PADTLL,SHENFLD,TRAIN,9W50RN#1
RSDuty_0,57,29,56,62760,17:26:00,63180,17:33:00,SHENFLD,SHENFLD,CHANGE_END,
RSDuty_0,58,28,57,63180,17:33:00,66552,18:29:12,SHENFLD,PADTLL,TRAIN,9Y85RN#1
RSDuty_0,59,27,58,63180,17:33:00,63180,17:33:00,SHENFLD,SHENFLD,SPARE,
RSDuty_0,60,26,59,66552,18:29:12,66630,18:30:30,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,61,25,60,66630,18:30:30,67320,18:42:00,PADTLL,WBRNPKS,TRAIN,3Y85RN#1
RSDuty_0,62,24,61,67320,18:42:00,67740,18:49:00,WBRNPKS,WBRNPKS,CHANGE_END,
RSDuty_0,63,23,62,67740,18:49:00,67890,18:51:30,WBRNPKS,WBRNPKS,SPARE,
RSDuty_0,64,22,63,67890,18:51:30,68370,18:59:30,WBRNPKS,PADTLL,TRAIN,3W02RO#1
RSDuty_0,65,21,64,68370,18:59:30,68490,19:01:30,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,66,20,65,68490,19:01:30,71533,19:52:13,PADTLL,SHENFLD,TRAIN,9W02RO#1
RSDuty_0,67,19,66,71533,19:52:13,71953,19:59:13,SHENFLD,SHENFLD,CHANGE_END,
RSDuty_0,68,18,67,71953,19:59:13,72060,20:01:00,SHENFLD,SHENFLD,SPARE,
RSDuty_0,69,17,68,72060,20:01:00,75270,20:54:30,SHENFLD,PADTLL,TRAIN,9Y31RO
RSDuty_0,70,16,69,75270,20:54:30,75360,20:56:00,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,71,15,70,75360,20:56:00,76380,21:13:00,PADTLL,WBRNPKS,TRAIN,3Y31RO
RSDuty_0,72,14,71,76380,21:13:00,76800,21:20:00,WBRNPKS,WBRNPKS,CHANGE_END,
RSDuty_0,73,13,72,76800,21:20:00,78498,21:48:18,WBRNPKS,WBRNPKS,SPARE,
RSDuty_0,74,12,73,78498,21:48:18,79170,21:59:30,WBRNPKS,PADTLL,TRAIN,3U53RO
RSDuty_0,75,11,74,79170,21:59:30,79200,22:00:00,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,76,10,75,79200,22:00:00,81090,22:31:30,PADTLL,ABWDXR,TRAIN,9U53RO
RSDuty_0,77,9,76,81090,22:31:30,81510,22:38:30,ABWDXR,ABWDXR,CHANGE_END,
RSDuty_0,78,8,77,81510,22:38:30,81510,22:38:30,ABWDXR,ABWDXR,SPARE,
RSDuty_0,79,7,78,81510,22:38:30,84825,23:33:45,ABWDXR,HTRWTM4,TRAIN,9T66RO
RSDuty_0,80,6,79,84825,23:33:45,85245,23:40:45,HTRWTM4,HTRWTM4,CHANGE_END,
RSDuty_0,81,5,80,85245,23:40:45,85710,23:48:30,HTRWTM4,HTRWTM4,SPARE,
RSDuty_0,82,4,81,85710,23:48:30,88050,1d 00:27:30,HTRWTM4,PADTON,TRAIN,2Y56RO
RSDuty_0,83,3,82,88050,1d 00:27:30,88470,1d 00:34:30,PADTON,PADTON,CHANGE_END,
RSDuty_0,84,2,83,88470,1d 00:34:30,89280,1d 00:48:00,PADTON,PADTON,SPARE,
RSDuty_0,85,1,84,89280,1d 00:48:00,90180,1d 01:03:00,PADTON,OLDOXRS,TRAIN,5Y90RO
RSDuty_1,1,56,0,19740,05:29:00,19828,05:30:28,MDNHDCS,MDNHEAD,TRAIN,5U15RL#1
RSDuty_1,2,55,1,19828,05:30:28,20008,05:33:28,MDNHEAD,MDNHEAD,CHANGE_END,
RSDuty_1,3,54,2,20008,05:33:28,24543,06:49:03,MDNHEAD,ABWDXR,TRAIN,9U15RL#1
RSDuty_1,4,53,3,24543,06:49:03,24963,06:56:03,ABWDXR,ABWDXR,CHANGE_END,
RSDuty_1,5,52,4,24963,06:56:03,25200,07:00:00,ABWDXR,ABWDXR,SPARE,
RSDuty_1,6,51,5,25200,07:00:00,29040,08:04:00,ABWDXR,HTRWTM4,TRAIN,9T30RL#1
RSDuty_1,7,50,6,29040,08:04:00,29460,08:11:00,HTRWTM4,HTRWTM4,CHANGE_END,
RSDuty_1,8,49,7,29460,08:11:00,29460,08:11:00,HTRWTM4,HTRWTM4,SPARE,
RSDuty_1,9,48,8,29460,08:11:00,33661,09:21:01,HTRWTM4,ABWDXR,TRAIN,9U65RL#1
RSDuty_1,10,47,9,33661,09:21:01,34081,09:28:01,ABWDXR,ABWDXR,CHANGE_END,
RSDuty_1,11,46,10,34081,09:28:01,34140,09:29:00,ABWDXR,ABWDXR,SPARE,
RSDuty_1,12,45,11,34140,09:29:00,38037,10:33:57,ABWDXR,HTRWTM4,TRAIN,9T84RL#1
RSDuty_1,13,44,12,38037,10:33:57,38457,10:40:57,HTRWTM4,HTRWTM4,CHANGE_END,
RSDuty_1,14,43,13,38457,10:40:57,42000,11:40:00,HTRWTM4,ABWDXR,TRAIN,9U25JK#1
RSDuty_1,15,42,14,38457,10:40:57,38457,10:40:57,HTRWTM4,HTRWTM4,SPARE,
RSDuty_1,16,41,15,42000,11:40:00,42420,11:47:00,ABWDXR,ABWDXR,CHANGE_END,
RSDuty_1,17,40,16,42420,11:47:00,42450,11:47:30,ABWDXR,ABWDXR,SPARE,
RSDuty_1,18,39,17,42450,11:47:30,46855,13:00:55,ABWDXR,HTRWTM4,TRAIN,9T44JS#1
RSDuty_1,19,38,18,46855,13:00:55,47275,13:07:55,HTRWTM4,HTRWTM4,CHANGE_END,
RSDuty_1,20,37,19,47275,13:07:55,47276,13:07:56,HTRWTM4,HTRWTM4,SPARE,
RSDuty_1,21,36,20,47276,13:07:56,51120,14:12:00,HTRWTM4,ABWDXR,TRAIN,9U85JT#1
RSDuty_1,22,35,21,51120,14:12:00,51540,14:19:00,ABWDXR,ABWDXR,CHANGE_END,
RSDuty_1,23,34,22,51540,14:19:00,51780,14:23:00,ABWDXR,ABWDXR,SPARE,
RSDuty_1,24,33,23,51780,14:23:00,55827,15:30:27,ABWDXR,HTRWTM4,TRAIN,9T06JT#1
RSDuty_1,25,32,24,55827,15:30:27,56247,15:37:27,HTRWTM4,HTRWTM4,CHANGE_END,
RSDuty_1,26,31,25,56247,15:37:27,56248,15:37:28,HTRWTM4,HTRWTM4,SPARE,
RSDuty_1,27,30,26,56248,15:37:28,61560,17:06:00,HTRWTM4,SHENFLD,TRAIN,9W44RN#1
RSDuty_1,28,29,27,61560,17:06:00,61980,17:13:00,SHENFLD,SHENFLD,CHANGE_END,
RSDuty_1,29,28,28,61980,17:13:00,62250,17:17:30,SHENFLD,SHENFLD,SPARE,
RSDuty_1,30,27,29,62250,17:17:30,65610,18:13:30,SHENFLD,PADTLL,TRAIN,9Y79RN#1
RSDuty_1,31,26,30,65610,18:13:30,65730,18:15:30,PADTLL,PADTLL,CHANGE_END,
RSDuty_1,32,25,31,65730,18:15:30,66060,18:21:00,PADTLL,WBRNPKS,TRAIN,3Y79RN#1
RSDuty_1,33,24,32,66060,18:21:00,66480,18:28:00,WBRNPKS,WBRNPKS,CHANGE_END,
RSDuty_1,34,23,33,66480,18:28:00,66552,18:29:12,WBRNPKS,PADTLL,TRAIN,3W94RN#1
RSDuty_1,35,22,34,66480,18:28:00,66480,18:28:00,WBRNPKS,WBRNPKS,SPARE,
RSDuty_1,36,21,35,66552,18:29:12,66630,18:30:30,PADTLL,PADTLL,CHANGE_END,
RSDuty_1,37,20,36,66630,18:30:30,69900,19:25:00,PADTLL,SHENFLD,TRAIN,9W94RN#1
RSDuty_1,38,19,37,69900,19:25:00,70320,19:32:00,SHENFLD,SHENFLD,CHANGE_END,
RSDuty_1,39,18,38,70320,19:32:00,73860,20:31:00,SHENFLD,PADTLL,TRAIN,9Y25RO
RSDuty_1,40,17,39,70320,19:32:00,70320,19:32:00,SHENFLD,SHENFLD,SPARE,
RSDuty_1,41,16,40,73860,20:31:00,73920,20:32:00,PADTLL,PADTLL,CHANGE_END,
RSDuty_1,42,15,41,73920,20:32:00,74268,20:37:48,PADTLL,WBRNPKS,TRAIN,3Y25RO
RSDuty_1,43,14,42,74268,20:37:48,74688,20:44:48,WBRNPKS,WBRNPKS,CHANGE_END,
RSDuty_1,44,13,43,74688,20:44:48,74688,20:44:48,WBRNPKS,WBRNPKS,SPARE,
RSDuty_1,45,12,44,74688,20:44:48,74760,20:46:00,WBRNPKS,PADTLL,TRAIN,3U83RX
RSDuty_1,46,11,45,74760,20:46:00,74790,20:46:30,PADTLL,PADTLL,CHANGE_END,
RSDuty_1,47,10,46,74790,20:46:30,76560,21:16:00,PADTLL,ABWDXR,TRAIN,9U83RX
RSDuty_1,48,9,47,76560,21:16:00,76980,21:23:00,ABWDXR,ABWDXR,CHANGE_END,
RSDuty_1,49,8,48,76980,21:23:00,81448,22:37:28,ABWDXR,HTRWTM5,TRAIN,9T48RO
RSDuty_1,50,7,49,76980,21:23:00,76980,21:23:00,ABWDXR,ABWDXR,SPARE,
RSDuty_1,51,6,50,81448,22:37:28,81868,22:44:28,HTRWTM5,HTRWTM5,CHANGE_END,
RSDuty_1,52,5,51,81868,22:44:28,81868,22:44:28,HTRWTM5,HTRWTM5,SPARE,
RSDuty_1,53,4,52,81868,22:44:28,85487,23:44:47,HTRWTM5,ABWDXR,TRAIN,9U69RO
RSDuty_1,54,3,53,85487,23:44:47,85907,23:51:47,ABWDXR,ABWDXR,CHANGE_END,
RSDuty_1,55,2,54,85907,23:51:47,86280,23:58:00,ABWDXR,ABWDXR,SPARE,
RSDuty_1,56,1,55,86280,23:58:00,87450,1d 00:17:30,ABWDXR,PLMSXCR,TRAIN,5P06RO
RSDuty_10,1,72,0,20820,05:47:00,21456,05:57:36,OLDOXRS,PADTLL,TRAIN,5W10RL#1
RSDuty_10,2,71,1,21456,05:57:36,21600,06:00:00,PADTLL,PADTLL,CHANGE_END,
RSDuty_10,3,70,2,21600,06:00:00,24742,06:52:22,PADTLL,SHENFLD,TRAIN,9W10RL#1
RSDuty_10,4,69,3,24742,06:52:22,25162,06:59:22,SHENFLD,SHENFLD,CHANGE_END,
RSDuty_10,5,68,4,25162,06:59:22,25320,07:02:00,SHENFLD,SHENFLD,SPARE,
RSDuty_10,6,67,5,25320,07:02:00,28528,07:55:28,SHENFLD,PADTLL,TRAIN,9Y39RL#1
RSDuty_10,7,66,6,28528,07:55:28,28620,07:57:00,PADTLL,PADTLL,CHANGE_END,
