DUTY_ID,SEQ,REV_SEQ,Comp idx,START_TIME_SECONDS,START_TIME_HHMMSS,END_TIME_SECONDS,END_TIME_HHMMSS,START_NODE,END_NODE,EVENT_TYPE,TRAIN_COURSE_ID
RSDuty_0,1,56,0,19740,05:29:00,19828,05:30:28,MDNHDCS,MDNHEAD,TRAIN,5U15RL#1
RSDuty_0,2,55,1,19828,05:30:28,20008,05:33:28,MDNHEAD,MDNHEAD,CHANGE_END,
RSDuty_0,3,54,2,20008,05:33:28,24543,06:49:03,MDNHEAD,ABWDXR,TRAIN,9U15RL#1
RSDuty_0,4,53,3,24543,06:49:03,24963,06:56:03,ABWDXR,ABWDXR,CHANGE_END,
RSDuty_0,5,52,4,24963,06:56:03,25200,07:00:00,ABWDXR,ABWDXR,SPARE,
RSDuty_0,6,51,5,25200,07:00:00,29040,08:04:00,ABWDXR,HTRWTM4,TRAIN,9T30RL#1
RSDuty_0,7,50,6,29040,08:04:00,29460,08:11:00,HTRWTM4,HTRWTM4,CHANGE_END,
RSDuty_0,8,49,7,29460,08:11:00,29460,08:11:00,HTRWTM4,HTRWTM4,SPARE,
RSDuty_0,9,48,8,29460,08:11:00,33478,09:17:58,HTRWTM4,ABWDXR,TRAIN,9U65RL#1
RSDuty_0,10,47,9,33478,09:17:58,33898,09:24:58,ABWDXR,ABWDXR,CHANGE_END,
RSDuty_0,11,46,10,33898,09:24:58,34013,09:26:53,ABWDXR,ABWDXR,SPARE,
RSDuty_0,12,45,11,34013,09:26:53,38160,10:36:00,ABWDXR,HTRWTM4,TRAIN,9T84RL#1
RSDuty_0,13,44,12,38160,10:36:00,38580,10:43:00,HTRWTM4,HTRWTM4,CHANGE_END,
RSDuty_0,14,43,13,38580,10:43:00,41984,11:39:44,HTRWTM4,ABWDXR,TRAIN,9U25JK#1
RSDuty_0,15,42,14,38580,10:43:00,38580,10:43:00,HTRWTM4,HTRWTM4,SPARE,
RSDuty_0,16,41,15,41984,11:39:44,42404,11:46:44,ABWDXR,ABWDXR,CHANGE_END,
RSDuty_0,17,40,16,42404,11:46:44,42450,11:47:30,ABWDXR,ABWDXR,SPARE,
RSDuty_0,18,39,17,42450,11:47:30,46875,13:01:15,ABWDXR,HTRWTM4,TRAIN,9T44JS#1
RSDuty_0,19,38,18,46875,13:01:15,47295,13:08:15,HTRWTM4,HTRWTM4,CHANGE_END,
RSDuty_0,20,37,19,47295,13:08:15,51029,14:10:29,HTRWTM4,ABWDXR,TRAIN,9U85JT#1
RSDuty_0,21,36,20,47295,13:08:15,47295,13:08:15,HTRWTM4,HTRWTM4,SPARE,
RSDuty_0,22,35,21,51029,14:10:29,51449,14:17:29,ABWDXR,ABWDXR,CHANGE_END,
RSDuty_0,23,34,22,51449,14:17:29,51450,14:17:30,ABWDXR,ABWDXR,SPARE,
RSDuty_0,24,33,23,51450,14:17:30,55989,15:33:09,ABWDXR,HTRWTM4,TRAIN,9T06JT#1
RSDuty_0,25,32,24,55989,15:33:09,56409,15:40:09,HTRWTM4,HTRWTM4,CHANGE_END,
RSDuty_0,26,31,25,56409,15:40:09,56508,15:41:48,HTRWTM4,HTRWTM4,SPARE,
RSDuty_0,27,30,26,56508,15:41:48,61680,17:08:00,HTRWTM4,SHENFLD,TRAIN,9W44RN#1
RSDuty_0,28,29,27,61680,17:08:00,62100,17:15:00,SHENFLD,SHENFLD,CHANGE_END,
RSDuty_0,29,28,28,62100,17:15:00,62315,17:18:35,SHENFLD,SHENFLD,SPARE,
RSDuty_0,30,27,29,62315,17:18:35,65595,18:13:15,SHENFLD,PADTLL,TRAIN,9Y79RN#1
RSDuty_0,31,26,30,65595,18:13:15,65730,18:15:30,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,32,25,31,65730,18:15:30,66138,18:22:18,PADTLL,WBRNPKS,TRAIN,3Y79RN#1
RSDuty_0,33,24,32,66138,18:22:18,66558,18:29:18,WBRNPKS,WBRNPKS,CHANGE_END,
RSDuty_0,34,23,33,66558,18:29:18,66570,18:29:30,WBRNPKS,WBRNPKS,SPARE,
RSDuty_0,35,22,34,66570,18:29:30,66647,18:30:47,WBRNPKS,PADTLL,TRAIN,3W94RN#1
RSDuty_0,36,21,35,66647,18:30:47,66677,18:31:17,PADTLL,PADTLL,CHANGE_END,
RSDuty_0,37,20,36,66677,18:31:17,69935,19:25:35,PADTLL,SHENFLD,TRAIN,9W94RN#1
RSDuty_0,38,19,37,69935,19:25:35,70355,19:32:35,SHENFLD,SHENFLD,CHANGE_END,
RSDuty_0,39,18,38,70355,19:32:35,73873,20:31:13,SHENFLD,PADTLL,TRAIN,9Y25RO
