TRAIN_COURSE_ID,SEQ,REV_SEQ,NODE,ARRIVAL_SECONDS,ARRIVAL_HHMMSS,DEPARTURE_SECONDS,DEPARTURE_HHMMSS,Track,Activity
2C01RL#1,1,19,GIDEAPK,,,17100,04:45:00,3,STOP
2C01RL#1,2,18,ROMFORD,17211,04:46:51,17280,04:48:00,4,STOP
2C01RL#1,3,17,CHDWLHT,17452,04:50:52,17490,04:51:30,3,STOP
2C01RL#1,4,16,GODMAYS,17573,04:52:53,17610,04:53:30,2,STOP
2C01RL#1,5,15,SVNKNGS,17701,04:55:01,17731,04:55:31,3,STOP
2C01RL#1,6,14,ILFELWJ,17752,04:55:52,17752,04:55:52,2,PASS
2C01RL#1,7,13,ILFELEJ,17789,04:56:29,17789,04:56:29,1,PASS
2C01RL#1,8,12,ILFORD,17844,04:57:24,17940,04:59:00,3,STOP
2C01RL#1,9,11,MANPKJ,18012,05:00:12,18012,05:00:12,1,PASS
2C01RL#1,10,10,MANRPK,18060,05:01:00,18090,05:01:30,1,STOP
2C01RL#1,11,9,FRSTGTJ,18131,05:02:11,18131,05:02:11,2,PASS
2C01RL#1,12,8,FRSTGT,18189,05:03:09,18240,05:04:00,2,STOP
2C01RL#1,13,7,MRYLAND,18328,05:05:28,18360,05:06:00,1,STOP
2C01RL#1,14,6,STFD,18438,05:07:18,18540,05:09:00,5,STOP
2C01RL#1,15,5,PUDGMLL,18581,05:09:41,18581,05:09:41,4,PASS
2C01RL#1,16,4,BOWJ,18621,05:10:21,18621,05:10:21,2,PASS
2C01RL#1,17,3,BTHNLGR,18719,05:11:59,18719,05:11:59,2,PASS
2C01RL#1,18,2,WHELSTJ,18772,05:12:52,18772,05:12:52,2,PASS
2C01RL#1,19,1,LIVST,18900,05:15:00,,,16,STOP
2C02RN#1,1,19,LIVST,,,63473,17:37:53,17,STOP
2C02RN#1,2,18,WHELSTJ,63569,17:39:29,63569,17:39:29,1,PASS
2C02RN#1,3,17,BTHNLGR,63653,17:40:53,63653,17:40:53,1,PASS
