TRAIN_COURSE_ID,SEQ,NODE,ARRIVAL_SECONDS,DEPARTURE_SECONDS,Track,Activity,DUTY_ID,START_TIME_SECONDS,END_TIME_SECONDS,START_NODE,END_NODE,NODE_R,ARRIVAL_SECONDS_R,DEPARTURE_SECONDS_R,TRACK_R,IS_REALIZED,DIRECTION,CATEGORY,ARRIVAL_SECONDS_P,DEPARTURE_SECONDS_P,Activity_P
2C01RL#1,1,GIDEAPK,17100.0,17100.0,3,STOP,RSDuty_85,17100,18960,GIDEAPK,LIVST,GIDEAPK,17008.0,17100.0,3,1.0,WB,OO,17100.0,17100.0,STOP
2C01RL#1,2,ROMFORD,17220.0,17280.0,4,STOP,RSDuty_85,17100,18960,GIDEAPK,LIVST,ROMFORD,17211.0,17280.0,4,1.0,WB,OO,17220.0,17280.0,STOP
2C01RL#1,3,CHDWLHT,17460.0,17490.0,3,STOP,RSDuty_85,17100,18960,GIDEAPK,LIVST,CHDWLHT,17452.0,17490.0,3,1.0,WB,OO,17460.0,17490.0,STOP
2C01RL#1,4,GODMAYS,17580.0,17610.0,2,STOP,RSDuty_85,17100,18960,GIDEAPK,LIVST,GODMAYS,17572.0,17610.0,,1.0,WB,OO,17580.0,17610.0,STOP
2C01RL#1,5,SVNKNGS,17700.0,17730.0,3,STOP,RSDuty_85,17100,18960,GIDEAPK,LIVST,SVNKNGS,17695.0,17730.0,3,1.0,WB,OO,17700.0,17730.0,STOP
2C01RL#1,6,ILFELWJ,17753.0,17753.0,2,PASS,RSDuty_85,17100,18960,GIDEAPK,LIVST,ILFELWJ,17751.0,17751.0,,1.0,WB,OO,17753.0,17753.0,PASS
2C01RL#1,7,ILFELEJ,17825.0,17825.0,1,PASS,RSDuty_85,17100,18960,GIDEAPK,LIVST,ILFELEJ,17788.0,17788.0,,1.0,WB,OO,17825.0,17825.0,PASS
2C01RL#1,8,ILFORD,17880.0,17940.0,3,STOP,RSDuty_85,17100,18960,GIDEAPK,LIVST,ILFORD,17842.0,17940.0,3,1.0,WB,OO,17880.0,17940.0,STOP
2C01RL#1,9,MANPKJ,18031.0,18031.0,1,PASS,RSDuty_85,17100,18960,GIDEAPK,LIVST,MANPKJ,18012.0,18012.0,,1.0,WB,OO,18031.0,18031.0,PASS
2C01RL#1,10,MANRPK,18060.0,18090.0,1,STOP,RSDuty_85,17100,18960,GIDEAPK,LIVST,MANRPK,18060.0,18090.0,1,1.0,WB,OO,18060.0,18090.0,STOP
2C01RL#1,11,FRSTGTJ,18150.0,18150.0,2,PASS,RSDuty_85,17100,18960,GIDEAPK,LIVST,FRSTGTJ,18131.0,18131.0,,1.0,WB,OO,18150.0,18150.0,PASS
2C01RL#1,12,FRSTGT,18210.0,18240.0,2,STOP,RSDuty_85,17100,18960,GIDEAPK,LIVST,FRSTGT,18189.0,18240.0,,1.0,WB,OO,18210.0,18240.0,STOP
2C01RL#1,13,MRYLAND,18330.0,18360.0,1,STOP,RSDuty_85,17100,18960,GIDEAPK,LIVST,MRYLAND,18327.0,18360.0,1,1.0,WB,OO,18330.0,18360.0,STOP
2C01RL#1,14,STFD,18480.0,18540.0,5,STOP,RSDuty_85,17100,18960,GIDEAPK,LIVST,STFD,18438.0,18540.0,5,1.0,WB,OO,18480.0,18540.0,STOP
2C01RL#1,15,PUDGMLL,18594.0,18594.0,4,PASS,RSDuty_85,17100,18960,GIDEAPK,LIVST,PUDGMLL,18581.0,18581.0,,1.0,WB,OO,18594.0,18594.0,PASS
2C01RL#1,16,BOWJ,18630.0,18630.0,2,PASS,RSDuty_85,17100,18960,GIDEAPK,LIVST,BOWJ,18621.0,18621.0,,1.0,WB,OO,18630.0,18630.0,PASS
2C01RL#1,17,BTHNLGR,18750.0,18750.0,2,PASS,RSDuty_85,17100,18960,GIDEAPK,LIVST,BTHNLGR,18719.0,18719.0,,1.0,WB,OO,18750.0,18750.0,PASS
2C01RL#1,18,WHELSTJ,18847.0,18847.0,2,PASS,RSDuty_85,17100,18960,GIDEAPK,LIVST,WHELSTJ,18772.0,18772.0,,1.0,WB,OO,18847.0,18847.0,PASS
2C01RL#1,19,LIVST,18960.0,18960.0,16,STOP,RSDuty_85,17100,18960,GIDEAPK,LIVST,LIVST,18894.0,,,1.0,WB,OO,18960.0,18960.0,STOP
2C02RN#1,1,LIVST,63540.0,63540.0,17,STOP,RSDuty_17,63540,65340,LIVST,GIDEAPK,,,,,,EB,OO,63540.0,63540.0,STOP
