TRAIN_COURSE_ID,SEQ,NODE,ARRIVAL_SECONDS,DEPARTURE_SECONDS,Track,Activity
2C01RL#1,1,GIDEAPK,17008,17100,3,STOP
2C01RL#1,2,ROMFORD,17211,17280,4,STOP
2C01RL#1,3,CHDWLHT,17452,17490,3,STOP
2C01RL#1,4,GODMAYS,17572,17610,2,STOP
2C01RL#1,5,SVNKNGS,17695,17730,3,STOP
2C01RL#1,6,ILFELWJ,17751,17751,2,PASS
2C01RL#1,7,ILFELEJ,17788,17788,1,PASS
2C01RL#1,8,ILFORD,17842,17940,3,STOP
2C01RL#1,9,MANPKJ,18012,18012,1,PASS
2C01RL#1,10,MANRPK,18060,18090,1,STOP
2C01RL#1,11,FRSTGTJ,18131,18131,2,PASS
2C01RL#1,12,FRSTGT,18189,18240,2,STOP
2C01RL#1,13,MRYLAND,18327,18360,1,STOP
2C01RL#1,14,STFD,18438,18540,5,STOP
2C01RL#1,15,PUDGMLL,18581,18581,4,PASS
2C01RL#1,16,BOWJ,18621,18621,2,PASS
2C01RL#1,17,BTHNLGR,18719,18719,2,PASS
2C01RL#1,18,WHELSTJ,18772,18772,2,PASS
2C01RL#1,19,LIVST,18894,,16,STOP
2C02RN#1,1,LIVST,62100,62130,17,STOP
2C02RN#1,2,WHELSTJ,62226,62226,1,PASS
2C02RN#1,3,BTHNLGR,62310,62310,1,PASS
2C02RN#1,4,BOWJ,62430,62430,1,PASS
2C02RN#1,5,PUDGMLL,62465,62465,3,PASS
2C02RN#1,6,STFD,62525,62555,8,STOP
2C02RN#1,7,MRYLAND,62645,62675,2,STOP
2C02RN#1,8,FRSTGT,62765,62795,1,STOP
2C02RN#1,9,FRSTGTJ,62855,62855,1,PASS
2C02RN#1,10,MANRPK,62915,62945,2,STOP
2C02RN#1,11,MANPKJ,62973,62973,2,PASS
2C02RN#1,12,ILFORD,63065,63095,4,STOP
2C02RN#1,13,ILFELEJ,63138,63138,2,PASS
2C02RN#1,14,ILFELWJ,63196,63196,1,PASS
2C02RN#1,15,SVNKNGS,63215,63245,4,STOP
2C02RN#1,16,GODMAYS,63335,63365,1,STOP
2C02RN#1,17,CHDWLHT,63455,63485,4,STOP
2C02RN#1,18,ROMFORD,63665,63695,5,STOP
2C02RN#1,19,GIDEAPK,63815,,4,STOP
2C04RN#1,1,LIVST,64506,64536,17,STOP
2C04RN#1,2,WHELSTJ,64632,64632,1,PASS
2C04RN#1,3,BTHNLGR,64716,64716,1,PASS
2C04RN#1,4,BOWJ,64836,64836,1,PASS
2C04RN#1,5,PUDGMLL,65022,65022,3,PASS
2C04RN#1,6,STFD,65077,65107,8,STOP
2C04RN#1,7,MRYLAND,65197,65227,2,STOP
2C04RN#1,8,FRSTGT,65317,65347,1,STOP
2C04RN#1,9,FRSTGTJ,65407,65407,1,PASS
2C04RN#1,10,MANRPK,65467,65497,2,STOP
2C04RN#1,11,MANPKJ,65525,65525,2,PASS
2C04RN#1,12,ILFORD,65617,65647,4,STOP
2C04RN#1,13,ILFELEJ,65690,65690,2,PASS
2C04RN#1,14,ILFELWJ,65748,65748,1,PASS
2C04RN#1,15,SVNKNGS,65767,65797,4,STOP
2C04RN#1,16,GODMAYS,65887,65917,1,STOP
2C04RN#1,17,CHDWLHT,66007,66037,4,STOP
2C04RN#1,18,ROMFORD,66217,66247,5,STOP
2C04RN#1,19,GIDEAPK,66367,,4,STOP
2C05RL#1,1,GIDEAPK,18208,18300,3,STOP
2C05RL#1,2,ROMFORD,18411,18480,4,STOP
2C05RL#1,3,CHDWLHT,18652,18690,3,STOP
2C05RL#1,4,GODMAYS,18772,18810,2,STOP
2C05RL#1,5,SVNKNGS,18895,18930,3,STOP
2C05RL#1,6,ILFELWJ,18951,18951,2,PASS
2C05RL#1,7,ILFELEJ,18988,18988,1,PASS
2C05RL#1,8,ILFORD,19042,19140,3,STOP
2C05RL#1,9,MANPKJ,19212,19212,1,PASS
2C05RL#1,10,MANRPK,19260,19290,1,STOP
2C05RL#1,11,FRSTGTJ,19331,19331,2,PASS
2C05RL#1,12,FRSTGT,19389,19440,2,STOP
2C05RL#1,13,MRYLAND,19527,19560,1,STOP
2C05RL#1,14,STFD,19638,19740,5,STOP
2C05RL#1,15,PUDGMLL,19781,19781,4,PASS
2C05RL#1,16,BOWJ,19821,19821,2,PASS
2C05RL#1,17,BTHNLGR,19919,19919,2,PASS
2C05RL#1,18,WHELSTJ,19972,19972,2,PASS
2C05RL#1,19,LIVST,20094,,16,STOP
2C07RL#1,1,GIDEAPK,27663,27780,3,STOP
2C07RL#1,2,ROMFORD,27891,27960,4,STOP
2C07RL#1,3,CHDWLHT,28132,28170,3,STOP
2C07RL#1,4,GODMAYS,28252,28290,2,STOP
2C07RL#1,5,SVNKNGS,28375,28410,3,STOP
2C07RL#1,6,ILFELWJ,28431,28431,2,PASS
2C07RL#1,7,ILFELEJ,28468,28468,1,PASS
2C07RL#1,8,ILFORD,28522,28620,3,STOP
