TRAIN_COURSE_ID,SEQ,NODE,ARRIVAL_SECONDS,DEPARTURE_SECONDS,Track,Activity
2C01RL#1,1,GIDEAPK,17009,17100,3,STOP
2C01RL#1,2,ROMFORD,17211,17280,4,STOP
2C01RL#1,3,CHDWLHT,17452,17490,3,STOP
2C01RL#1,4,GODMAYS,17573,17610,2,STOP
2C01RL#1,5,SVNKNGS,17701,17731,3,STOP
2C01RL#1,6,ILFELWJ,17752,17752,2,PASS
2C01RL#1,7,ILFELEJ,17789,17789,1,PASS
2C01RL#1,8,ILFORD,17844,17940,3,STOP
2C01RL#1,9,MANPKJ,18012,18012,1,PASS
2C01RL#1,10,MANRPK,18060,18090,1,STOP
2C01RL#1,11,FRSTGTJ,18131,18131,2,PASS
2C01RL#1,12,FRSTGT,18189,18240,2,STOP
2C01RL#1,13,MRYLAND,18328,18360,1,STOP
2C01RL#1,14,STFD,18438,18540,5,STOP
2C01RL#1,15,PUDGMLL,18581,18581,4,PASS
2C01RL#1,16,BOWJ,18621,18621,2,PASS
2C01RL#1,17,BTHNLGR,18719,18719,2,PASS
2C01RL#1,18,WHELSTJ,18772,18772,2,PASS
2C01RL#1,19,LIVST,18900,,16,STOP
2C02RN#1,1,LIVST,61450,63540,17,STOP
2C02RN#1,2,WHELSTJ,63636,63636,1,PASS
2C02RN#1,3,BTHNLGR,63720,63720,1,PASS
2C02RN#1,4,BOWJ,63840,63840,1,PASS
2C02RN#1,5,PUDGMLL,64080,64080,3,PASS
2C02RN#1,6,STFD,64165,64195,8,STOP
2C02RN#1,7,MRYLAND,64285,64315,2,STOP
2C02RN#1,8,FRSTGT,64405,64435,1,STOP
2C02RN#1,9,FRSTGTJ,64495,64495,1,PASS
2C02RN#1,10,MANRPK,64555,64585,2,STOP
2C02RN#1,11,MANPKJ,64613,64613,2,PASS
2C02RN#1,12,ILFORD,64705,64735,4,STOP
2C02RN#1,13,ILFELEJ,64778,64778,2,PASS
2C02RN#1,14,ILFELWJ,64836,64836,1,PASS
2C02RN#1,15,SVNKNGS,64855,64885,4,STOP
2C02RN#1,16,GODMAYS,64975,65005,1,STOP
2C02RN#1,17,CHDWLHT,65095,65125,4,STOP
2C02RN#1,18,ROMFORD,65305,65335,5,STOP
2C02RN#1,19,GIDEAPK,65455,,4,STOP
2C04RN#1,1,LIVST,64042,65340,17,STOP
2C04RN#1,2,WHELSTJ,65436,65436,1,PASS
2C04RN#1,3,BTHNLGR,65520,65520,1,PASS
2C04RN#1,4,BOWJ,65640,65640,1,PASS
2C04RN#1,5,PUDGMLL,65911,65911,3,PASS
2C04RN#1,6,STFD,65996,66026,8,STOP
2C04RN#1,7,MRYLAND,66116,66146,2,STOP
2C04RN#1,8,FRSTGT,66236,66266,1,STOP
2C04RN#1,9,FRSTGTJ,66326,66326,1,PASS
2C04RN#1,10,MANRPK,66386,66416,2,STOP
2C04RN#1,11,MANPKJ,66444,66444,2,PASS
2C04RN#1,12,ILFORD,66536,66566,4,STOP
2C04RN#1,13,ILFELEJ,66609,66609,2,PASS
2C04RN#1,14,ILFELWJ,66667,66667,1,PASS
2C04RN#1,15,SVNKNGS,66686,66716,4,STOP
2C04RN#1,16,GODMAYS,66806,66836,1,STOP
2C04RN#1,17,CHDWLHT,66926,66956,4,STOP
2C04RN#1,18,ROMFORD,67136,67166,5,STOP
2C04RN#1,19,GIDEAPK,67286,,4,STOP
2C05RL#1,1,GIDEAPK,18209,18300,3,STOP
2C05RL#1,2,ROMFORD,18411,18480,4,STOP
2C05RL#1,3,CHDWLHT,18652,18690,3,STOP
2C05RL#1,4,GODMAYS,18773,18810,2,STOP
2C05RL#1,5,SVNKNGS,18901,18931,3,STOP
2C05RL#1,6,ILFELWJ,18952,18952,2,PASS
2C05RL#1,7,ILFELEJ,18989,18989,1,PASS
2C05RL#1,8,ILFORD,19044,19140,3,STOP
2C05RL#1,9,MANPKJ,19212,19212,1,PASS
2C05RL#1,10,MANRPK,19260,19290,1,STOP
2C05RL#1,11,FRSTGTJ,19331,19331,2,PASS
2C05RL#1,12,FRSTGT,19389,19440,2,STOP
2C05RL#1,13,MRYLAND,19528,19560,1,STOP
2C05RL#1,14,STFD,19638,19740,5,STOP
