TRAIN_COURSE_ID,SEQ,NODE,ARRIVAL_SECONDS,DEPARTURE_SECONDS,Track,Activity
9U45RL#1,7,STHALL,27042,27120,4,PASS
9U53RL#1,6,TWYFORD,26926,27000,4,PASS
9U51RL#1,6,TWYFORD,26305,26370,4,PASS
9U57RL#1,4,BNHAM,28083,28140,2,PASS
9U51RL#1,8,MDNHEAD,26741,26790,4,PASS
9U53RL#1,8,MDNHEAD,27371,27420,4,PASS
9U49RL#1,7,STHALL,27792,27840,4,PASS
9U57RL#1,3,TAPLOW,27915,27960,4,PASS
9U45RL#1,10,HANWELL,27270,27305,2,PASS
9U49RL#1,10,HANWELL,27989,28024,2,PASS
9Y43RL#1,4,HRLDWOD,26522,26557,3,PASS
9Y43RL#1,6,GIDEAPK,26687,26722,3,PASS
9Y45RL#1,4,HRLDWOD,26882,26917,3,PASS
9Y45RL#1,6,GIDEAPK,27046,27081,3,PASS
9Y47RL#1,4,HRLDWOD,27122,27157,3,PASS
9Y47RL#1,6,GIDEAPK,27287,27322,3,PASS
9Y49RL#1,4,HRLDWOD,27362,27397,3,PASS
9Y49RL#1,6,GIDEAPK,27527,27562,3,PASS
9Y51RL#1,4,HRLDWOD,27842,27877,3,PASS
9Y51RL#1,6,GIDEAPK,28006,28041,3,PASS
9Y55RL#1,4,HRLDWOD,28442,28477,3,PASS
9Y55RL#1,6,GIDEAPK,28606,28641,3,PASS
9T52RL#1,3,WOLWXR,29220,29250,1,PASS
9T52RL#1,5,CUSTMHS,29460,29490,B,PASS
9U55RL#1,10,HANWELL,28958,28988,2,PASS
9Y56RL#1,1,ABWDXR,29675,29675,3,STOP
9Y56RL#1,2,PLMSEJ,29735,29735,2,PASS
9Y59RL#1,6,GIDEAPK,29070,29100,3,PASS
9Y65RL#1,6,GIDEAPK,30080,30110,3,PASS
9U15RL#1,3,TAPLOW,20143,20168,4,PASS
9U41RL#1,6,TWYFORD,24565,24590,4,PASS
9U55RL#1,7,STHALL,28831,28831,4,PASS
2C01RL#1,6,ILFELWJ,17752,17752,2,PASS
2C01RL#1,7,ILFELEJ,17789,17789,1,PASS
2C01RL#1,9,MANPKJ,18012,18012,1,PASS
2C01RL#1,11,FRSTGTJ,18131,18131,2,PASS
2C01RL#1,15,PUDGMLL,18581,18581,4,PASS
2C01RL#1,16,BOWJ,18621,18621,2,PASS
2C01RL#1,17,BTHNLGR,18719,18719,2,PASS
2C01RL#1,18,WHELSTJ,18772,18772,2,PASS
2C02RN#1,2,WHELSTJ,65020,65020,1,PASS
2C02RN#1,3,BTHNLGR,65104,65104,1,PASS
2C02RN#1,4,BOWJ,65224,65224,1,PASS
2C02RN#1,5,PUDGMLL,67589,67589,3,PASS
2C02RN#1,9,FRSTGTJ,68094,68094,1,PASS
2C02RN#1,11,MANPKJ,68212,68212,2,PASS
2C02RN#1,13,ILFELEJ,68407,68407,2,PASS
2C02RN#1,14,ILFELWJ,68465,68465,1,PASS
2C04RN#1,2,WHELSTJ,67881,67881,1,PASS
2C04RN#1,3,BTHNLGR,67965,67965,1,PASS
2C04RN#1,4,BOWJ,68085,68085,1,PASS
2C04RN#1,5,PUDGMLL,69400,69400,3,PASS
2C04RN#1,9,FRSTGTJ,69905,69905,1,PASS
2C04RN#1,11,MANPKJ,70023,70023,2,PASS
2C04RN#1,13,ILFELEJ,70218,70218,2,PASS
2C04RN#1,14,ILFELWJ,70276,70276,1,PASS
2C05RL#1,6,ILFELWJ,18952,18952,2,PASS
2C05RL#1,7,ILFELEJ,18989,18989,1,PASS
2C05RL#1,9,MANPKJ,19212,19212,1,PASS
2C05RL#1,11,FRSTGTJ,19331,19331,2,PASS
2C05RL#1,15,PUDGMLL,19781,19781,4,PASS
2C05RL#1,16,BOWJ,19821,19821,2,PASS
2C05RL#1,17,BTHNLGR,19919,19919,2,PASS
2C05RL#1,18,WHELSTJ,19972,19972,2,PASS
2C07RL#1,6,ILFELWJ,28437,28437,2,PASS
2C07RL#1,7,ILFELEJ,28474,28474,1,PASS
2C07RL#1,9,MANPKJ,28692,28692,1,PASS
2C07RL#1,11,FRSTGTJ,28830,28830,2,PASS
2C07RL#1,15,PUDGMLL,29274,29274,4,PASS
2C07RL#1,16,BOWJ,29310,29310,2,PASS
2C07RL#1,17,BTHNLGR,29430,29430,2,PASS
2C07RL#1,18,WHELSTJ,29527,29527,2,PASS
2C09RL#1,6,ILFELWJ,30627,30627,2,PASS
2C09RL#1,7,ILFELEJ,30673,30673,1,PASS
2C09RL#1,9,MANPKJ,30879,30879,1,PASS
2C09RL#1,11,FRSTGTJ,30998,30998,2,PASS
2C09RL#1,15,PUDGMLL,31442,31442,4,PASS
2C09RL#1,16,BOWJ,31478,31478,2,PASS
2C09RL#1,17,BTHNLGR,31598,31598,2,PASS
2C09RL#1,18,WHELSTJ,31695,31695,2,PASS
2R01RL#1,2,ROYAOJN,18837,18837,3,PASS
2R01RL#1,3,PRTOBJP,18909,18909,2,PASS
2R01RL#1,4,LDBRKJ,18947,18947,3,PASS
2R01RL#1,5,OLDOKCE,18994,18994,2,PASS
2R01RL#1,6,OLDOKCW,19014,19014,DR,PASS
2R01RL#1,7,FRIARSJ,19032,19032,1,PASS
2R01RL#1,8,ZZZACTE,19050,19050,2,PASS
2R01RL#1,9,ACTONML,19058,19058,RL,PASS
2R01RL#1,10,ACTONW,19090,19090,1,PASS
2R01RL#1,12,WEALING,19411,19411,3,PASS
2R01RL#1,13,WEALJN,19418,19418,1,PASS
2R01RL#1,14,ZZZHAN,19442,19442,1,PASS
2R01RL#1,15,HANWELL,19446,19446,1,PASS
2R01RL#1,16,ZZZHBJN,19466,19466,1,PASS
2R01RL#1,17,STHALEJ,19515,19515,1,PASS
2R01RL#1,19,STHALWJ,19917,19917,2,PASS
2R01RL#1,21,HTRWAJN,20140,20140,2,PASS
2R01RL#1,22,STKYJN,20181,20181,1,PASS
2R01RL#1,24,WDRYJN,20364,20364,2,PASS
2R01RL#1,27,DOLPHNJ,20743,20743,1,PASS
2R01RL#1,29,SLOUGHW,20960,20960,1,PASS
2R01RL#1,30,ZZZFRD,20977,20977,1,PASS
2R01RL#1,33,MDNHDE,21397,21397,2,PASS
2R01RL#1,35,RUSCOMB,21785,21785,1,PASS
2R01RL#1,37,TWYFDW,22017,22017,2,PASS
2R01RL#1,38,RDNGKBJ,22155,22155,1,PASS
2R01RL#1,39,RDNGNJN,22174,22174,2,PASS
2R01RL#1,40,ZZZREJN,22196,22196,2,PASS
2R02RL#1,2,ROYAOJN,20286,20286,3,PASS
2R02RL#1,3,PRTOBJP,20357,20357,2,PASS
2R02RL#1,4,LDBRKJ,20395,20395,3,PASS
2R02RL#1,5,OLDOKCE,20443,20443,2,PASS
2R02RL#1,6,OLDOKCW,20463,20463,DR,PASS
2R02RL#1,7,FRIARSJ,20480,20480,1,PASS
2R02RL#1,8,ZZZACTE,20499,20499,2,PASS
2R02RL#1,9,ACTONML,20507,20507,RL,PASS
2R02RL#1,10,ACTONW,20545,20545,1,PASS
2R02RL#1,12,WEALING,20851,20851,3,PASS
2R02RL#1,13,WEALJN,20858,20858,1,PASS
2R02RL#1,14,ZZZHAN,20882,20882,1,PASS
2R02RL#1,15,HANWELL,20887,20887,1,PASS
2R02RL#1,16,ZZZHBJN,20917,20917,1,PASS
2R02RL#1,17,STHALEJ,21088,21088,1,PASS
2R02RL#1,19,STHALWJ,21305,21305,2,PASS
2R02RL#1,21,HTRWAJN,21490,21490,2,PASS
2R02RL#1,22,STKYJN,21531,21531,1,PASS
2R02RL#1,24,WDRYJN,21714,21714,2,PASS
2R02RL#1,27,DOLPHNJ,22093,22093,1,PASS
2R02RL#1,29,SLOUGHW,22310,22310,1,PASS
2R02RL#1,30,ZZZFRD,22327,22327,1,PASS
2R02RL#1,33,MDNHDE,22747,22747,2,PASS
2R02RL#1,35,RUSCOMB,23135,23135,1,PASS
2R02RL#1,37,TWYFDW,23367,23367,2,PASS
2R02RL#1,38,RDNGKBJ,23505,23505,1,PASS
2R02RL#1,39,RDNGNJN,23524,23524,2,PASS
2R02RL#1,40,ZZZREJN,23546,23546,2,PASS
2T01RL#1,2,ROYAOJN,17037,17037,3,PASS
2T01RL#1,3,PRTOBJP,17109,17109,2,PASS
2T01RL#1,4,LDBRKJ,17147,17147,3,PASS
2T01RL#1,5,OLDOKCE,17194,17194,2,PASS
2T01RL#1,6,OLDOKCW,17214,17214,DR,PASS
2T01RL#1,7,FRIARSJ,17232,17232,1,PASS
2T01RL#1,8,ZZZACTE,17250,17250,2,PASS
2T01RL#1,9,ACTONML,17258,17258,RL,PASS
2T01RL#1,10,ACTONW,17290,17290,1,PASS
2T01RL#1,12,WEALING,17521,17521,3,PASS
2T01RL#1,13,WEALJN,17528,17528,1,PASS
2T01RL#1,14,ZZZHAN,17552,17552,1,PASS
2T01RL#1,15,HANWELL,17556,17556,1,PASS
2T01RL#1,16,ZZZHBJN,17576,17576,1,PASS
2T01RL#1,17,STHALEJ,17625,17625,1,PASS
2T01RL#1,19,STHALWJ,17817,17817,2,PASS
2T01RL#1,21,HTRWAJN,18010,18010,2,PASS
2T01RL#1,22,STKYJN,18045,18045,3,PASS
2T01RL#1,23,HTRWTJN,18070,18070,3,PASS
2T02RL#1,2,ROYAOJN,17706,17706,3,PASS
2T02RL#1,3,PRTOBJP,17777,17777,2,PASS
2T02RL#1,4,LDBRKJ,17815,17815,3,PASS
2T02RL#1,5,OLDOKCE,17863,17863,2,PASS
2T02RL#1,6,OLDOKCW,17883,17883,DR,PASS
2T02RL#1,7,FRIARSJ,17900,17900,1,PASS
2T02RL#1,8,ZZZACTE,17919,17919,2,PASS
2T02RL#1,9,ACTONML,17927,17927,RL,PASS
2T02RL#1,10,ACTONW,17959,17959,1,PASS
2T02RL#1,12,WEALING,18241,18241,3,PASS
2T02RL#1,13,WEALJN,18248,18248,1,PASS
2T02RL#1,14,ZZZHAN,18272,18272,1,PASS
2T02RL#1,15,HANWELL,18276,18276,1,PASS
2T02RL#1,16,ZZZHBJN,18296,18296,1,PASS
2T02RL#1,17,STHALEJ,18345,18345,1,PASS
2T02RL#1,19,STHALWJ,18567,18567,2,PASS
2T02RL#1,21,HTRWAJN,18760,18760,2,PASS
2T02RL#1,22,STKYJN,18795,18795,3,PASS
2T02RL#1,23,HTRWTJN,18820,18820,3,PASS
2T03RL#1,2,ROYAOJN,18246,18246,3,PASS
2T03RL#1,3,PRTOBJP,18317,18317,2,PASS
2T03RL#1,4,LDBRKJ,18355,18355,3,PASS
2T03RL#1,5,OLDOKCE,18403,18403,2,PASS
2T03RL#1,6,OLDOKCW,18423,18423,DR,PASS
2T03RL#1,7,FRIARSJ,18441,18441,1,PASS
2T03RL#1,8,ZZZACTE,18466,18466,2,PASS
2T03RL#1,10,ACTONW,18598,18598,1,PASS
2T03RL#1,13,WEALJN,18864,18864,1,PASS
2T03RL#1,14,ZZZHAN,18902,18902,1,PASS
2T03RL#1,16,ZZZHBJN,19006,19006,1,PASS
2T03RL#1,17,STHALEJ,19059,19059,1,PASS
2T03RL#1,19,STHALWJ,19257,19257,2,PASS
2T03RL#1,21,HTRWAJN,19480,19480,2,PASS
2T03RL#1,22,STKYJN,19515,19515,3,PASS
2T03RL#1,23,HTRWTJN,19540,19540,3,PASS
2T04RL#1,2,ROYAOJN,19146,19146,3,PASS
2T04RL#1,3,PRTOBJP,19217,19217,2,PASS
2T04RL#1,4,LDBRKJ,19255,19255,3,PASS
2T04RL#1,5,OLDOKCE,19303,19303,2,PASS
2T04RL#1,6,OLDOKCW,19323,19323,DR,PASS
2T04RL#1,7,FRIARSJ,19341,19341,1,PASS
2T04RL#1,8,ZZZACTE,19366,19366,2,PASS
2T04RL#1,10,ACTONW,19522,19522,1,PASS
2T04RL#1,13,WEALJN,19820,19820,1,PASS
2T04RL#1,14,ZZZHAN,19858,19858,1,PASS
2T04RL#1,16,ZZZHBJN,19962,19962,1,PASS
2T04RL#1,17,STHALEJ,20015,20015,1,PASS
2T04RL#1,19,STHALWJ,20217,20217,2,PASS
2T04RL#1,21,HTRWAJN,20440,20440,2,PASS
2T04RL#1,22,STKYJN,20475,20475,3,PASS
2T04RL#1,23,HTRWTJN,20500,20500,3,PASS
2T05RL#1,2,ROYAOJN,19986,19986,3,PASS
2T05RL#1,3,PRTOBJP,20057,20057,2,PASS
2T05RL#1,4,LDBRKJ,20095,20095,3,PASS
2T05RL#1,5,OLDOKCE,20143,20143,2,PASS
2T05RL#1,6,OLDOKCW,20163,20163,DR,PASS
2T05RL#1,7,FRIARSJ,20181,20181,1,PASS
2T05RL#1,8,ZZZACTE,20206,20206,2,PASS
2T05RL#1,10,ACTONW,20392,20392,1,PASS
2T05RL#1,13,WEALJN,20664,20664,1,PASS
2T05RL#1,14,ZZZHAN,20702,20702,1,PASS
2T05RL#1,16,ZZZHBJN,20806,20806,1,PASS
2T05RL#1,17,STHALEJ,20859,20859,1,PASS
2T05RL#1,19,STHALWJ,21057,21057,2,PASS
2T05RL#1,21,HTRWAJN,21280,21280,2,PASS
2T05RL#1,22,STKYJN,21315,21315,3,PASS
2T05RL#1,23,HTRWTJN,21340,21340,3,PASS
2T06RL#1,2,ROYAOJN,20706,20706,3,PASS
2T06RL#1,3,PRTOBJP,20777,20777,2,PASS
2T06RL#1,4,LDBRKJ,20815,20815,3,PASS
