TRAIN_COURSE_ID,SEQ,NODE,ARRIVAL_SECONDS,DEPARTURE_SECONDS,Track,Activity
2C01RL#1,1,GIDEAPK,17008.0,17100.0,3,STOP
2C01RL#1,2,ROMFORD,17211.0,17280.0,4,STOP
2C01RL#1,3,CHDWLHT,17452.0,17490.0,3,STOP
2C01RL#1,4,GODMAYS,17572.0,17610.0,2,STOP
2C01RL#1,5,SVNKNGS,17695.0,17730.0,3,STOP
2C01RL#1,6,ILFELWJ,17751.0,17751.0,2,PASS
2C01RL#1,7,ILFELEJ,17788.0,17788.0,1,PASS
2C01RL#1,8,ILFORD,17842.0,17940.0,3,STOP
2C01RL#1,9,MANPKJ,18012.0,18012.0,1,PASS
2C01RL#1,10,MANRPK,18060.0,18090.0,1,STOP
2C01RL#1,11,FRSTGTJ,18131.0,18131.0,2,PASS
2C01RL#1,12,FRSTGT,18189.0,18240.0,2,STOP
2C01RL#1,13,MRYLAND,18327.0,18360.0,1,STOP
2C01RL#1,14,STFD,18438.0,18540.0,5,STOP
2C01RL#1,15,PUDGMLL,18581.0,18581.0,4,PASS
2C01RL#1,16,BOWJ,18621.0,18621.0,2,PASS
2C01RL#1,17,BTHNLGR,18719.0,18719.0,2,PASS
2C01RL#1,18,WHELSTJ,18772.0,18772.0,2,PASS
2C01RL#1,19,LIVST,18894.0,,16,STOP
2C02RN#1,1,LIVST,62100.0,63540.0,17,STOP
2C02RN#1,2,WHELSTJ,63636.0,63636.0,1,PASS
2C02RN#1,3,BTHNLGR,63720.0,63720.0,1,PASS
2C02RN#1,4,BOWJ,63840.0,63840.0,1,PASS
2C02RN#1,5,PUDGMLL,64630.0,64630.0,3,PASS
2C02RN#1,6,STFD,64715.0,64745.0,8,STOP
2C02RN#1,7,MRYLAND,64835.0,64865.0,2,STOP
2C02RN#1,8,FRSTGT,64955.0,64985.0,1,STOP
2C02RN#1,9,FRSTGTJ,65045.0,65045.0,1,PASS
2C02RN#1,10,MANRPK,65105.0,65135.0,2,STOP
2C02RN#1,11,MANPKJ,65163.0,65163.0,2,PASS
2C02RN#1,12,ILFORD,65255.0,65285.0,4,STOP
2C02RN#1,13,ILFELEJ,65328.0,65328.0,2,PASS
2C02RN#1,14,ILFELWJ,65386.0,65386.0,1,PASS
2C02RN#1,15,SVNKNGS,65405.0,65435.0,4,STOP
2C02RN#1,16,GODMAYS,65525.0,65555.0,1,STOP
2C02RN#1,17,CHDWLHT,65645.0,65675.0,4,STOP
2C02RN#1,18,ROMFORD,65855.0,65885.0,5,STOP
2C02RN#1,19,GIDEAPK,66005.0,,4,STOP
2C04RN#1,1,LIVST,64111.0,65340.0,17,STOP
2C04RN#1,2,WHELSTJ,65436.0,65436.0,1,PASS
2C04RN#1,3,BTHNLGR,65520.0,65520.0,1,PASS
2C04RN#1,4,BOWJ,65640.0,65640.0,1,PASS
2C04RN#1,5,PUDGMLL,66430.0,66430.0,3,PASS
2C04RN#1,6,STFD,66515.0,66545.0,8,STOP
2C04RN#1,7,MRYLAND,66635.0,66665.0,2,STOP
2C04RN#1,8,FRSTGT,66755.0,66785.0,1,STOP
2C04RN#1,9,FRSTGTJ,66845.0,66845.0,1,PASS
2C04RN#1,10,MANRPK,66905.0,66935.0,2,STOP
2C04RN#1,11,MANPKJ,66963.0,66963.0,2,PASS
2C04RN#1,12,ILFORD,67055.0,67085.0,4,STOP
2C04RN#1,13,ILFELEJ,67128.0,67128.0,2,PASS
2C04RN#1,14,ILFELWJ,67186.0,67186.0,1,PASS
2C04RN#1,15,SVNKNGS,67205.0,67235.0,4,STOP
2C04RN#1,16,GODMAYS,67325.0,67355.0,1,STOP
2C04RN#1,17,CHDWLHT,67445.0,67475.0,4,STOP
2C04RN#1,18,ROMFORD,67655.0,67685.0,5,STOP
2C04RN#1,19,GIDEAPK,67805.0,,4,STOP
2C05RL#1,1,GIDEAPK,18208.0,18300.0,3,STOP
2C05RL#1,2,ROMFORD,18411.0,18480.0,4,STOP
2C05RL#1,3,CHDWLHT,18652.0,18690.0,3,STOP
2C05RL#1,4,GODMAYS,18772.0,18810.0,2,STOP
2C05RL#1,5,SVNKNGS,18895.0,18930.0,3,STOP
2C05RL#1,6,ILFELWJ,18951.0,18951.0,2,PASS
2C05RL#1,7,ILFELEJ,18988.0,18988.0,1,PASS
2C05RL#1,8,ILFORD,19042.0,19140.0,3,STOP
2C05RL#1,9,MANPKJ,19212.0,19212.0,1,PASS
2C05RL#1,10,MANRPK,19260.0,19290.0,1,STOP
2C05RL#1,11,FRSTGTJ,19331.0,19331.0,2,PASS
2C05RL#1,12,FRSTGT,19389.0,19440.0,2,STOP
2C05RL#1,13,MRYLAND,19527.0,19560.0,1,STOP
2C05RL#1,14,STFD,19638.0,19740.0,5,STOP
2C05RL#1,15,PUDGMLL,19781.0,19781.0,4,PASS
2C05RL#1,16,BOWJ,19821.0,19821.0,2,PASS
2C05RL#1,17,BTHNLGR,19919.0,19919.0,2,PASS
2C05RL#1,18,WHELSTJ,19972.0,19972.0,2,PASS
2C05RL#1,19,LIVST,20094.0,,16,STOP
2C07RL#1,1,GIDEAPK,27663.0,27780.0,3,STOP
2C07RL#1,2,ROMFORD,27891.0,27960.0,4,STOP
2C07RL#1,3,CHDWLHT,28132.0,28170.0,3,STOP
2C07RL#1,4,GODMAYS,28252.0,28290.0,2,STOP
2C07RL#1,5,SVNKNGS,28375.0,28410.0,3,STOP
2C07RL#1,6,ILFELWJ,28431.0,28431.0,2,PASS
2C07RL#1,7,ILFELEJ,28468.0,28468.0,1,PASS
2C07RL#1,8,ILFORD,28522.0,28620.0,3,STOP
2C07RL#1,9,MANPKJ,28692.0,28692.0,1,PASS
2C07RL#1,10,MANRPK,28740.0,28770.0,1,STOP
2C07RL#1,11,FRSTGTJ,28811.0,28811.0,2,PASS
2C07RL#1,12,FRSTGT,28869.0,28920.0,2,STOP
2C07RL#1,13,MRYLAND,29007.0,29040.0,1,STOP
2C07RL#1,14,STFD,29118.0,29220.0,5,STOP
2C07RL#1,15,PUDGMLL,29261.0,29261.0,4,PASS
2C07RL#1,16,BOWJ,29301.0,29301.0,2,PASS
2C07RL#1,17,BTHNLGR,29399.0,29399.0,2,PASS
2C07RL#1,18,WHELSTJ,29452.0,29452.0,2,PASS
2C07RL#1,19,LIVST,29581.0,,17,STOP
2C09RL#1,1,GIDEAPK,29463.0,29580.0,3,STOP
2C09RL#1,2,ROMFORD,29691.0,29760.0,4,STOP
2C09RL#1,3,CHDWLHT,29932.0,29970.0,3,STOP
2C09RL#1,4,GODMAYS,30052.0,30090.0,2,STOP
2C09RL#1,5,SVNKNGS,30175.0,30210.0,3,STOP
2C09RL#1,6,ILFELWJ,30231.0,30231.0,2,PASS
2C09RL#1,7,ILFELEJ,30268.0,30268.0,1,PASS
2C09RL#1,8,ILFORD,30322.0,30420.0,3,STOP
2C09RL#1,9,MANPKJ,30492.0,30492.0,1,PASS
2C09RL#1,10,MANRPK,30540.0,30570.0,1,STOP
2C09RL#1,11,FRSTGTJ,30611.0,30611.0,2,PASS
2C09RL#1,12,FRSTGT,30669.0,30720.0,2,STOP
2C09RL#1,13,MRYLAND,30807.0,30840.0,1,STOP
2C09RL#1,14,STFD,30918.0,31020.0,5,STOP
2C09RL#1,15,PUDGMLL,31061.0,31061.0,4,PASS
2C09RL#1,16,BOWJ,31101.0,31101.0,2,PASS
2C09RL#1,17,BTHNLGR,31199.0,31199.0,2,PASS
2C09RL#1,18,WHELSTJ,31252.0,31252.0,2,PASS
2C09RL#1,19,LIVST,31381.0,,17,STOP
2R01RL#1,1,PADTON,17424.0,18780.0,10,STOP
2R01RL#1,2,ROYAOJN,18837.0,18837.0,3,PASS
2R01RL#1,3,PRTOBJP,18909.0,18909.0,2,PASS
2R01RL#1,4,LDBRKJ,18947.0,18947.0,3,PASS
2R01RL#1,5,OLDOKCE,18994.0,18994.0,2,PASS
2R01RL#1,6,OLDOKCW,19014.0,19014.0,DR,PASS
2R01RL#1,7,FRIARSJ,19032.0,19032.0,1,PASS
2R01RL#1,8,ZZZACTE,19050.0,19050.0,2,PASS
2R01RL#1,9,ACTONML,19058.0,19058.0,RL,PASS
2R01RL#1,10,ACTONW,19090.0,19090.0,1,PASS
2R01RL#1,11,EALINGB,19157.0,19350.0,2,STOP
2R01RL#1,12,WEALING,19411.0,19411.0,3,PASS
2R01RL#1,13,WEALJN,19418.0,19418.0,1,PASS
2R01RL#1,14,ZZZHAN,19442.0,19442.0,1,PASS
2R01RL#1,15,HANWELL,19446.0,19446.0,1,PASS
2R01RL#1,16,ZZZHBJN,19466.0,19466.0,1,PASS
2R01RL#1,17,STHALEJ,19515.0,19515.0,1,PASS
2R01RL#1,18,STHALL,19556.0,19860.0,3,STOP
2R01RL#1,19,STHALWJ,19917.0,19917.0,2,PASS
2R01RL#1,20,HAYESAH,19999.0,20100.0,3,STOP
2R01RL#1,21,HTRWAJN,20140.0,20140.0,2,PASS
2R01RL#1,22,STKYJN,20181.0,20181.0,1,PASS
2R01RL#1,23,WDRYTON,20257.0,20340.0,3,STOP
2R01RL#1,24,WDRYJN,20364.0,20364.0,2,PASS
2R01RL#1,25,IVER,20468.0,20520.0,3,STOP
2R01RL#1,26,LANGLEY,20643.0,20678.0,3,STOP
2R01RL#1,27,DOLPHNJ,20743.0,20743.0,1,PASS
2R01RL#1,28,SLOUGH,20830.0,20910.0,4,STOP
2R01RL#1,29,SLOUGHW,20960.0,20960.0,1,PASS
2R01RL#1,30,ZZZFRD,20977.0,20977.0,1,PASS
2R01RL#1,31,BNHAM,21084.0,21120.0,1,STOP
2R01RL#1,32,TAPLOW,21249.0,21330.0,3,STOP
2R01RL#1,33,MDNHDE,21397.0,21397.0,2,PASS
2R01RL#1,34,MDNHEAD,21456.0,21540.0,3,STOP
2R01RL#1,35,RUSCOMB,21785.0,21785.0,1,PASS
2R01RL#1,36,TWYFORD,21881.0,21960.0,3,STOP
2R01RL#1,37,TWYFDW,22017.0,22017.0,2,PASS
2R01RL#1,38,RDNGKBJ,22160.0,22160.0,1,PASS
2R01RL#1,39,RDNGNJN,22180.0,22180.0,2,PASS
2R01RL#1,40,ZZZREJN,22202.0,22202.0,2,PASS
2R01RL#1,41,RDNGSTN,22267.0,22267.0,13,STOP
2R02RL#1,1,PADTON,19381.0,20220.0,12,STOP
2R02RL#1,2,ROYAOJN,20286.0,20286.0,3,PASS
2R02RL#1,3,PRTOBJP,20357.0,20357.0,2,PASS
2R02RL#1,4,LDBRKJ,20395.0,20395.0,3,PASS
2R02RL#1,5,OLDOKCE,20443.0,20443.0,2,PASS
2R02RL#1,6,OLDOKCW,20463.0,20463.0,DR,PASS
2R02RL#1,7,FRIARSJ,20480.0,20480.0,1,PASS
2R02RL#1,8,ZZZACTE,20499.0,20499.0,2,PASS
2R02RL#1,9,ACTONML,20507.0,20507.0,RL,PASS
2R02RL#1,10,ACTONW,20545.0,20545.0,1,PASS
2R02RL#1,11,EALINGB,20621.0,20790.0,2,STOP
2R02RL#1,12,WEALING,20851.0,20851.0,3,PASS
2R02RL#1,13,WEALJN,20858.0,20858.0,1,PASS
2R02RL#1,14,ZZZHAN,20882.0,20882.0,1,PASS
