TRAIN_COURSE_ID,SEQ,NODE,ARRIVAL_SECONDS,DEPARTURE_SECONDS,Track,Activity
2C01RL#1,1,GIDEAPK,17009.0,17100.0,3,STOP
2C01RL#1,2,ROMFORD,17211.0,17280.0,4,STOP
2C01RL#1,3,CHDWLHT,17452.0,17490.0,3,STOP
2C01RL#1,4,GODMAYS,17573.0,17610.0,2,STOP
2C01RL#1,5,SVNKNGS,17701.0,17731.0,3,STOP
2C01RL#1,6,ILFELWJ,17752.0,17752.0,2,PASS
2C01RL#1,7,ILFELEJ,17789.0,17789.0,1,PASS
2C01RL#1,8,ILFORD,17844.0,17940.0,3,STOP
2C01RL#1,9,MANPKJ,18012.0,18012.0,1,PASS
2C01RL#1,10,MANRPK,18060.0,18090.0,1,STOP
2C01RL#1,11,FRSTGTJ,18131.0,18131.0,2,PASS
2C01RL#1,12,FRSTGT,18189.0,18240.0,2,STOP
2C01RL#1,13,MRYLAND,18328.0,18360.0,1,STOP
2C01RL#1,14,STFD,18438.0,18540.0,5,STOP
2C01RL#1,15,PUDGMLL,18581.0,18581.0,4,PASS
2C01RL#1,16,BOWJ,18621.0,18621.0,2,PASS
2C01RL#1,17,BTHNLGR,18719.0,18719.0,2,PASS
2C01RL#1,18,WHELSTJ,18772.0,18772.0,2,PASS
2C01RL#1,19,LIVST,18900.0,,16,STOP
2C02RN#1,1,LIVST,79228.0,79648.0,17,STOP
2C02RN#1,2,WHELSTJ,79744.0,79744.0,1,PASS
2C02RN#1,3,BTHNLGR,79828.0,79828.0,1,PASS
2C02RN#1,4,BOWJ,79948.0,79948.0,1,PASS
2C02RN#1,5,PUDGMLL,89592.0,89592.0,3,PASS
2C02RN#1,6,STFD,89677.0,89707.0,8,STOP
2C02RN#1,7,MRYLAND,89797.0,89827.0,2,STOP
2C02RN#1,8,FRSTGT,89917.0,89947.0,1,STOP
2C02RN#1,9,FRSTGTJ,90007.0,90007.0,1,PASS
2C02RN#1,10,MANRPK,90067.0,90097.0,2,STOP
2C02RN#1,11,MANPKJ,90125.0,90125.0,2,PASS
2C02RN#1,12,ILFORD,90217.0,90247.0,4,STOP
2C02RN#1,13,ILFELEJ,90290.0,90290.0,2,PASS
2C02RN#1,14,ILFELWJ,90348.0,90348.0,1,PASS
2C02RN#1,15,SVNKNGS,90367.0,90397.0,4,STOP
2C02RN#1,16,GODMAYS,90487.0,90517.0,1,STOP
2C02RN#1,17,CHDWLHT,90607.0,90637.0,4,STOP
