TRAIN_COURSE_ID,SEQ,NODE,ARRIVAL_SECONDS,DEPARTURE_SECONDS,Track,Activity
2C01RL#1,1,GIDEAPK,17009.0,17100.0,3,STOP
2C01RL#1,2,ROMFORD,17211.0,17280.0,4,STOP
2C01RL#1,3,CHDWLHT,17452.0,17490.0,3,STOP
2C01RL#1,4,GODMAYS,17573.0,17610.0,2,STOP
2C01RL#1,5,SVNKNGS,17701.0,17731.0,3,STOP
2C01RL#1,6,ILFELWJ,17752.0,17752.0,2,PASS
2C01RL#1,7,ILFELEJ,17789.0,17789.0,1,PASS
2C01RL#1,8,ILFORD,17844.0,17940.0,3,STOP
2C01RL#1,9,MANPKJ,18012.0,18012.0,1,PASS
2C01RL#1,10,MANRPK,18060.0,18090.0,1,STOP
2C01RL#1,11,FRSTGTJ,18131.0,18131.0,2,PASS
2C01RL#1,12,FRSTGT,18189.0,18240.0,2,STOP
2C01RL#1,13,MRYLAND,18328.0,18360.0,1,STOP
2C01RL#1,14,STFD,18438.0,18540.0,5,STOP
2C01RL#1,15,PUDGMLL,18581.0,18581.0,4,PASS
2C01RL#1,16,BOWJ,18621.0,18621.0,2,PASS
2C01RL#1,17,BTHNLGR,18719.0,18719.0,2,PASS
2C01RL#1,18,WHELSTJ,18772.0,18772.0,2,PASS
2C01RL#1,19,LIVST,18900.0,,16,STOP
2C02RN#1,1,LIVST,77038.0,77458.0,17,STOP
2C02RN#1,2,WHELSTJ,77554.0,77554.0,1,PASS
2C02RN#1,3,BTHNLGR,77638.0,77638.0,1,PASS
2C02RN#1,4,BOWJ,77758.0,77758.0,1,PASS
2C02RN#1,5,PUDGMLL,87402.0,87402.0,3,PASS
2C02RN#1,6,STFD,87487.0,87517.0,8,STOP
2C02RN#1,7,MRYLAND,87607.0,87637.0,2,STOP
2C02RN#1,8,FRSTGT,87727.0,87757.0,1,STOP
2C02RN#1,9,FRSTGTJ,87817.0,87817.0,1,PASS
2C02RN#1,10,MANRPK,87877.0,87907.0,2,STOP
2C02RN#1,11,MANPKJ,87935.0,87935.0,2,PASS
2C02RN#1,12,ILFORD,88027.0,88057.0,4,STOP
2C02RN#1,13,ILFELEJ,88100.0,88100.0,2,PASS
2C02RN#1,14,ILFELWJ,88158.0,88158.0,1,PASS
2C02RN#1,15,SVNKNGS,88177.0,88207.0,4,STOP
2C02RN#1,16,GODMAYS,88297.0,88327.0,1,STOP
2C02RN#1,17,CHDWLHT,88417.0,88447.0,4,STOP
